Wall time,Step,Value
1692942881.0568736,0,0.2681625783443451
1692942895.638735,1,0.4376997947692871
1692942910.346244,2,0.5161445140838623
1692942924.3363698,3,0.5626198649406433
1692942938.52821,4,0.6020620465278625
1692942952.6477149,5,0.6352701187133789
1692942966.716448,6,0.6624839901924133
1692942980.6572492,7,0.6900575160980225
1692942994.790613,8,0.7153332829475403
1692943008.6573336,9,0.7458040118217468
1692943022.8271186,10,0.772138774394989
1692943037.0327404,11,0.7993326187133789
1692943051.0281312,12,0.8259870409965515
1692943065.234574,13,0.8553788065910339
1692943079.3477504,14,0.8808943629264832
1692943093.6301858,15,0.9052509665489197
1692943108.037302,16,0.9303668737411499
1692943122.47161,17,0.9473705291748047
1692943136.978602,18,0.9637148380279541
1692943151.8035624,19,0.9749041199684143
1692943166.0842726,20,0.985254168510437
1692943180.8289847,21,0.9910485744476318
1692943195.6973546,22,0.9900495409965515
1692943211.392026,23,0.9976223111152649
1692943227.4249058,24,0.9873521327972412
1692943243.4082432,25,0.9992207288742065
1692943259.8119175,26,0.9998401403427124
1692943276.4073064,27,0.9999200701713562
1692943292.977038,28,0.9999800324440002
1692943309.472791,29,1.0
1692943325.8743198,30,1.0
1692943340.51993,31,1.0
1692943354.6053982,32,1.0
1692943368.8473797,33,1.0
1692943383.0260448,34,1.0
1692943397.4280255,35,1.0
1692943411.6924624,36,1.0
1692943426.0347497,37,1.0
1692943440.1345594,38,1.0
1692943454.1285555,39,1.0
1692943468.1446595,40,1.0
1692943482.2311964,41,1.0
1692943496.243155,42,1.0
1692943510.044127,43,1.0
1692943524.1344028,44,1.0
1692943538.2789094,45,1.0
1692943552.194491,46,1.0
1692943566.055466,47,1.0
1692943580.2561624,48,1.0
1692943594.4193916,49,1.0
