Wall time,Step,Value
1692960108.6575565,0,2.3031978607177734
1692960122.332347,1,2.3031015396118164
1692960136.429328,2,2.3030598163604736
1692960149.6604664,3,2.303102970123291
1692960162.5815234,4,2.3030011653900146
1692960177.003212,5,2.3030648231506348
1692960190.7978122,6,2.3030545711517334
1692960204.4963233,7,2.3030076026916504
1692960218.1063352,8,2.303044080734253
1692960231.70536,9,2.3028554916381836
1692960245.3168573,10,2.3029274940490723
1692960258.8051414,11,2.3018181324005127
1692960272.1065495,12,2.0144503116607666
1692960285.3104138,13,1.6950465440750122
1692960298.598914,14,1.4780484437942505
1692960311.82116,15,1.2239419221878052
1692960324.9773607,16,0.9852011203765869
1692960338.1581826,17,0.8249606490135193
1692960351.424434,18,0.699160635471344
1692960364.860061,19,0.5836157202720642
1692960378.2036138,20,0.48482856154441833
1692960391.8506196,21,0.4043348729610443
1692960405.3815773,22,0.32617658376693726
1692960419.0607617,23,0.2669174075126648
1692960432.7147813,24,0.21895831823349
1692960446.293617,25,0.18011651933193207
1692960459.8129077,26,0.15814723074436188
1692960473.3485105,27,0.1251380890607834
1692960487.1432931,28,0.10025618970394135
1692960500.1325126,29,0.08686955273151398
1692960513.4324663,30,0.07688545435667038
1692960526.594908,31,0.06421356648206711
1692960539.683007,32,0.06571526825428009
1692960552.8324635,33,0.05387228727340698
1692960566.3230803,34,0.05132099613547325
1692960579.7243478,35,0.043638925999403
1692960593.237737,36,0.0383208729326725
1692960606.683579,37,0.034649841487407684
1692960620.073237,38,0.02903159335255623
1692960633.4095936,39,0.027125535532832146
1692960646.8160143,40,0.026661336421966553
1692960660.4926796,41,0.027304019778966904
1692960673.8611403,42,0.026498736813664436
1692960687.5237842,43,0.02241242676973343
1692960701.2980554,44,0.019398294389247894
1692960714.73511,45,0.02079494670033455
1692960728.029386,46,0.016947435215115547
1692960742.1811845,47,0.017486775293946266
1692960755.7053916,48,0.015918578952550888
1692960769.22734,49,0.018445545807480812
1692960782.5333571,50,0.014184420928359032
1692960795.9146776,51,0.012845097109675407
1692960809.314418,52,0.010544795542955399
1692960822.8768182,53,0.012165920808911324
1692960836.451679,54,0.015298713929951191
1692960849.8604712,55,0.014025142416357994
1692960863.5556955,56,0.01294820848852396
1692960877.0868819,57,0.012126157991588116
1692960890.5968604,58,0.010718567296862602
1692960904.3148644,59,0.007561774924397469
1692960917.9503076,60,0.010307375341653824
1692960931.5034697,61,0.010502473451197147
1692960945.0382552,62,0.01012822613120079
1692960958.6461983,63,0.005767942406237125
1692960972.1124647,64,0.00915434304624796
1692960985.4822552,65,0.010771549306809902
1692960998.8606281,66,0.007469682022929192
1692961012.4604595,67,0.008067254908382893
1692961025.9818883,68,0.007479070220142603
1692961039.2566953,69,0.008417747914791107
1692961052.813645,70,0.00785639975219965
1692961066.0463843,71,0.006059450097382069
1692961079.5393803,72,0.005532687529921532
1692961093.1149771,73,0.010725111700594425
1692961106.6816523,74,0.011387585662305355
1692961120.1617014,75,0.005659136921167374
1692961133.7801914,76,0.005824102554470301
1692961148.0051463,77,0.005648290738463402
1692961162.4272287,78,0.0031712071504443884
1692961176.177533,79,0.00783966388553381
1692961190.0179958,80,0.0061300150118768215
1692961203.7647188,81,0.00418435363098979
1692961217.4371881,82,0.002219038549810648
1692961230.777188,83,0.00014522937999572605
1692961244.281799,84,2.9250211809994653e-05
1692961257.7388122,85,1.8748196453088894e-05
1692961271.2346148,86,1.58018920046743e-05
1692961285.0221932,87,1.3328136446943972e-05
1692961298.5953162,88,1.1156495020259172e-05
1692961312.3285537,89,9.977105946745723e-06
1692961325.811787,90,9.082009455596562e-06
1692961339.5055,91,8.335664460901171e-06
1692961353.2590585,92,7.727167940174695e-06
1692961367.0926952,93,6.746250164724188e-06
1692961380.8289275,94,6.247192686714698e-06
1692961394.6438048,95,5.6790627240843605e-06
1692961408.2701695,96,5.564028015214717e-06
1692961422.0767767,97,5.161325589142507e-06
1692961435.6683083,98,4.849350261793006e-06
1692961449.1420236,99,4.6757104428252205e-06
