Wall time,Step,Value
1692954921.2365317,0,2.303225040435791
1692954935.8073075,1,2.303093433380127
1692954949.9964337,2,2.303039789199829
1692954964.3062139,3,2.302896499633789
1692954977.9313755,4,2.303116798400879
1692954991.6613686,5,2.3031005859375
1692955005.2899745,6,2.3029584884643555
1692955019.1715915,7,2.303067922592163
1692955033.1166146,8,2.302953004837036
1692955046.7957354,9,2.3029823303222656
1692955060.41952,10,2.3028008937835693
1692955073.9864416,11,2.2982289791107178
1692955087.5987413,12,1.9237231016159058
1692955101.5779238,13,1.6440112590789795
1692955115.5177755,14,1.4414907693862915
1692955129.495177,15,1.191836953163147
1692955143.496932,16,0.9664387702941895
1692955157.3282995,17,0.8018242120742798
1692955171.2281983,18,0.6736225485801697
1692955185.2075698,19,0.5559974908828735
1692955199.1572697,20,0.4573521912097931
1692955213.0133832,21,0.37695857882499695
1692955226.7949347,22,0.30977490544319153
1692955240.6601708,23,0.2440364956855774
1692955254.1881013,24,0.19257110357284546
1692955267.8270588,25,0.15824921429157257
1692955281.3567364,26,0.12686210870742798
1692955295.0848186,27,0.1032767966389656
1692955308.886603,28,0.0903787836432457
1692955322.758613,29,0.0737202912569046
1692955336.5816715,30,0.06699366122484207
1692955350.4876378,31,0.05781090632081032
1692955364.4332685,32,0.05142222344875336
1692955378.426597,33,0.04627544805407524
1692955392.346854,34,0.044901538640260696
1692955406.2699106,35,0.03364214673638344
1692955420.204511,36,0.033270008862018585
1692955434.1690116,37,0.030553173273801804
1692955448.2628012,38,0.019462285563349724
1692955461.9209719,39,0.024953804910182953
1692955475.499417,40,0.006127006374299526
1692955489.121117,41,0.00044390634866431355
1692955502.625105,42,0.00012090148811694235
1692955516.1930473,43,6.785403820686042e-05
1692955529.862537,44,5.235831849859096e-05
1692955543.5344255,45,4.2944859160343185e-05
1692955557.2725677,46,3.647143239504658e-05
1692955570.972477,47,3.1581952498527244e-05
1692955584.8747416,48,2.7866288291988894e-05
1692955598.6109676,49,2.4923478122218512e-05
1692955612.4530473,50,2.2479975086753257e-05
1692955626.498774,51,2.0449708244996145e-05
1692955640.4495726,52,1.8760601960821077e-05
1692955654.3753927,53,1.73701537278248e-05
1692955668.4055214,54,1.6062464055721648e-05
1692955682.371742,55,1.499458358011907e-05
1692955696.1949754,56,1.4021813512954395e-05
1692955709.7313535,57,1.3172612852940802e-05
1692955723.368904,58,1.2411517673172057e-05
1692955736.8537693,59,1.1755629202525597e-05
1692955750.510645,60,1.1121145689685363e-05
1692955764.1330004,61,1.0610615390760358e-05
1692955777.6985943,62,1.007119135465473e-05
1692955791.496849,63,9.601598321751226e-06
1692955805.4977424,64,9.232505362888332e-06
1692955819.3464978,65,8.781537871982437e-06
1692955833.2034106,66,8.43032103148289e-06
1692955847.0101762,67,8.091743438853882e-06
1692955860.8971093,68,7.78856519900728e-06
1692955874.799521,69,7.498640115954913e-06
1692955888.6741016,70,7.224129603855545e-06
1692955902.3813775,71,6.972916253289441e-06
1692955916.304678,72,6.7381088229012676e-06
1692955930.165233,73,6.519514045066899e-06
1692955943.7347262,74,6.320984994090395e-06
1692955957.628604,75,6.115144515206339e-06
1692955971.224719,76,5.933332886343123e-06
1692955985.0271757,77,5.756978680437896e-06
1692955998.5352814,78,5.605233582173241e-06
1692956012.0852077,79,5.43536134500755e-06
1692956025.768623,80,5.286816758598434e-06
1692956039.4967823,81,5.146541298017837e-06
1692956053.184637,82,5.0138191909354646e-06
1692956067.0261574,83,4.8861379582376685e-06
1692956080.803046,84,4.771226940647466e-06
1692956094.4934692,85,4.653687938116491e-06
1692956108.111334,86,4.536909727903549e-06
1692956121.732401,87,4.434381025930634e-06
1692956135.669806,88,4.3308568820066284e-06
1692956149.401295,89,4.2347169255663175e-06
1692956163.2613432,90,4.147017989453161e-06
1692956176.8552792,91,4.0500676732335705e-06
1692956190.5620944,92,3.964416009694105e-06
1692956204.2864485,93,3.8864263842697255e-06
1692956218.0318854,94,3.80859773940756e-06
1692956231.5747283,95,3.7273414363880875e-06
1692956245.1586235,96,3.6550902677845443e-06
1692956258.7053666,97,3.583827037800802e-06
1692956272.432427,98,3.5161890536983265e-06
1692956286.2133906,99,3.4497866181482095e-06
